,mode,dest_type,UR2020_V_1,duration_weighted
436,cycling,pharmacy,Invercargill,6.7651298292821505
437,cycling,pharmacy,Tauranga,8.113940437258682
438,cycling,pharmacy,Te Awamutu,6.6051990201396205
439,cycling,pharmacy,Taupō,10.858908863646464
440,cycling,pharmacy,Lower Hutt,6.981688650283294
441,cycling,pharmacy,Pukekohe,6.843670184591135
442,cycling,pharmacy,Richmond,7.661301581905196
443,cycling,pharmacy,Tokoroa,10.852432381745151
444,cycling,pharmacy,Mosgiel,7.181311214782742
445,cycling,pharmacy,Rotorua,10.791524383611609
446,cycling,pharmacy,Whakatāne,7.808424512054272
447,cycling,pharmacy,Havelock North,8.456084045456755
448,cycling,pharmacy,Napier,10.864905016219753
449,cycling,pharmacy,Whanganui,7.908460276904709
450,cycling,pharmacy,Levin,6.454561165857253
451,cycling,pharmacy,New Plymouth,6.507008173120553
452,cycling,pharmacy,Waikanae,12.837796592497208
453,cycling,pharmacy,Upper Hutt,10.962438576970516
454,cycling,pharmacy,Porirua,8.342044417416549
455,cycling,pharmacy,Blenheim,6.62383947052347
456,cycling,pharmacy,Timaru,9.814238009922812
457,cycling,pharmacy,Rangiora,7.399716463830742
458,cycling,pharmacy,Kaiapoi,8.680845521280881
459,cycling,pharmacy,Rolleston,8.976812238788284
460,cycling,pharmacy,Oamaru,12.19621985657277
461,cycling,pharmacy,Queenstown,12.76759050720572
462,cycling,doctor,Whangārei,6.273892744344016
463,cycling,doctor,Auckland,5.391996742029737
464,cycling,doctor,Cambridge,6.353327592166602
465,cycling,doctor,Wellington,5.174607385448015
466,cycling,doctor,Hibiscus Coast,9.647627978523495
467,cycling,doctor,Gisborne,8.182170057147994
468,cycling,doctor,Hastings,5.662138721233038
469,cycling,doctor,Christchurch,5.833914522432915
470,cycling,doctor,Ashburton,5.809735297733759
471,cycling,doctor,Hamilton,5.8259102899445585
472,cycling,doctor,Nelson,8.38991883928282
473,cycling,doctor,Feilding,7.949456106691057
474,cycling,doctor,Palmerston North,11.90942747556746
475,cycling,doctor,Paraparaumu,6.188065433586976
476,cycling,doctor,Masterton,7.126494265306148
477,cycling,doctor,Dunedin,6.892827280397085
478,cycling,doctor,Invercargill,6.791449385598603
479,cycling,doctor,Tauranga,8.16210362612125
480,cycling,doctor,Te Awamutu,6.896197596146183
481,cycling,doctor,Taupō,11.940269099105887
482,cycling,doctor,Lower Hutt,7.270640022627769
483,cycling,doctor,Pukekohe,7.9511822791070275
484,cycling,doctor,Richmond,6.584096580859575
485,cycling,doctor,Tokoroa,11.359915010986303
486,cycling,doctor,Mosgiel,8.3424963013531
487,cycling,doctor,Rotorua,10.459898854482343
488,cycling,doctor,Whakatāne,8.378053930770983
489,cycling,doctor,Havelock North,7.561568534860159
490,cycling,doctor,Napier,6.3527233093578195
491,cycling,doctor,Whanganui,6.968030762365715
492,cycling,doctor,Levin,5.645326117326417
493,cycling,doctor,New Plymouth,10.352267712671724
494,cycling,doctor,Waikanae,14.16316262003244
495,cycling,doctor,Upper Hutt,11.100989581525441
496,cycling,doctor,Porirua,7.884711886938681
497,cycling,doctor,Blenheim,6.9523379149187505
498,cycling,doctor,Timaru,9.455013278740443
499,cycling,doctor,Rangiora,6.1381248059886335
500,cycling,doctor,Kaiapoi,8.242004035343367
501,cycling,doctor,Rolleston,8.377435642408463
502,cycling,doctor,Oamaru,8.787391742074055
503,cycling,doctor,Queenstown,13.530512945758705
504,cycling,primary_school,Whangārei,5.973554752149746
505,cycling,primary_school,Auckland,4.683981002766441
506,cycling,primary_school,Cambridge,6.842300993909495
507,cycling,primary_school,Wellington,4.276367785400529
508,cycling,primary_school,Hibiscus Coast,7.825981353353893
509,cycling,primary_school,Gisborne,4.392454697524364
510,cycling,primary_school,Hastings,3.73959354134657
511,cycling,primary_school,Christchurch,5.255595487264275
512,cycling,primary_school,Ashburton,4.939522474298575
513,cycling,primary_school,Hamilton,5.038599473267097
514,cycling,primary_school,Nelson,6.658860327608505
515,cycling,primary_school,Feilding,5.373640480188269
516,cycling,primary_school,Palmerston North,5.935821317502851
517,cycling,primary_school,Paraparaumu,5.804123770085548
518,cycling,primary_school,Masterton,5.660264845409585
519,cycling,primary_school,Dunedin,4.524938431020241
520,cycling,primary_school,Invercargill,4.649363335059007
521,cycling,primary_school,Tauranga,7.016538113001163
522,cycling,primary_school,Te Awamutu,5.777835195258148
523,cycling,primary_school,Taupō,6.862539086244826
524,cycling,primary_school,Lower Hutt,5.15642849892705
525,cycling,primary_school,Pukekohe,5.33781748794268
526,cycling,primary_school,Richmond,6.061781721685188
527,cycling,primary_school,Tokoroa,6.218278355899396
528,cycling,primary_school,Mosgiel,6.7547868774981525
529,cycling,primary_school,Rotorua,6.585279538400252
530,cycling,primary_school,Whakatāne,5.551109333990208
531,cycling,primary_school,Havelock North,6.1555402551215055
532,cycling,primary_school,Napier,9.46188910396826
533,cycling,primary_school,Whanganui,5.390849400795649
534,cycling,primary_school,Levin,4.784309303198533
535,cycling,primary_school,New Plymouth,6.909445394622643
536,cycling,primary_school,Waikanae,14.894204613271029
537,cycling,primary_school,Upper Hutt,6.30127716441892
538,cycling,primary_school,Porirua,5.005807163123173
539,cycling,primary_school,Blenheim,5.192030052485518
540,cycling,primary_school,Timaru,7.632980696643571
541,cycling,primary_school,Rangiora,5.077330479407447
542,cycling,primary_school,Kaiapoi,7.29421200977595
543,cycling,primary_school,Rolleston,6.357269823923871
544,cycling,primary_school,Oamaru,7.0653452984602
545,cycling,primary_school,Queenstown,12.69503559067715
546,cycling,greenspace,Whangārei,4.024385247916337
547,cycling,greenspace,Auckland,3.200164923775318
548,cycling,greenspace,Cambridge,2.400120894546386
549,cycling,greenspace,Wellington,2.6453318825727785
550,cycling,greenspace,Hibiscus Coast,3.729965035227444
551,cycling,greenspace,Gisborne,2.19239700370072
552,cycling,greenspace,Hastings,1.8128350602604322
553,cycling,greenspace,Christchurch,2.0678455665515387
554,cycling,greenspace,Ashburton,2.3876539166147044
555,cycling,greenspace,Hamilton,2.195872029498913
556,cycling,greenspace,Nelson,4.100785966457458
557,cycling,greenspace,Feilding,3.5608525066288084
558,cycling,greenspace,Palmerston North,4.589247377199382
559,cycling,greenspace,Paraparaumu,1.804214526419461
560,cycling,greenspace,Masterton,3.1005430390179525
561,cycling,greenspace,Dunedin,2.370307906015477
562,cycling,greenspace,Invercargill,3.2736777729510287
563,cycling,greenspace,Tauranga,3.111188458340257
564,cycling,greenspace,Te Awamutu,2.3037805302025145
565,cycling,greenspace,Taupō,2.2942445295899816
566,cycling,greenspace,Lower Hutt,3.119565625888189
567,cycling,greenspace,Pukekohe,2.6367023897828394
568,cycling,greenspace,Richmond,2.608939883222746
