,mode,dest_type,region,duration,suburb
0,walking,all,Auckland,16.109578544061304,Hillcrest East (Auckland)
0,walking,supermarket,Auckland,14.406593406593407,Oteha West
0,walking,ece,Auckland,7.546310832025117,Oteha West
0,walking,pharmacy,Auckland,18.150706436420723,Oteha West
0,walking,doctor,Auckland,17.646781789638933,Oteha West
0,walking,primary_school,Auckland,6.2982731554160125,Oteha West
0,walking,greenspace,Auckland,1.3437990580847723,Oteha West
0,walking,all,Auckland,18.150706436420723,Oteha West
0,walking,supermarket,Auckland,14.654945054945054,Long Bay
0,walking,ece,Auckland,17.085714285714285,Long Bay
0,walking,pharmacy,Auckland,18.58901098901099,Long Bay
0,walking,doctor,Auckland,17.017582417582418,Long Bay
0,walking,primary_school,Auckland,15.386813186813187,Long Bay
0,walking,greenspace,Auckland,5.914285714285715,Long Bay
0,walking,all,Auckland,22.483516483516482,Long Bay
0,walking,supermarket,Auckland,26.160550458715598,Northcross
0,walking,ece,Auckland,7.755963302752294,Northcross
0,walking,pharmacy,Auckland,9.736697247706422,Northcross
0,walking,doctor,Auckland,10.290825688073394,Northcross
0,walking,primary_school,Auckland,8.48348623853211,Northcross
0,walking,greenspace,Auckland,2.9073394495412845,Northcross
0,walking,all,Auckland,26.160550458715598,Northcross
0,walking,supermarket,Auckland,17.84927234927235,Campbells Bay
0,walking,ece,Auckland,6.225571725571726,Campbells Bay
0,walking,pharmacy,Auckland,17.94074844074844,Campbells Bay
0,walking,doctor,Auckland,18.2027027027027,Campbells Bay
0,walking,primary_school,Auckland,12.87006237006237,Campbells Bay
0,walking,greenspace,Auckland,3.5405405405405403,Campbells Bay
0,walking,all,Auckland,21.232848232848234,Campbells Bay
0,walking,supermarket,Auckland,21.127492877492877,Browns Bay South West
0,walking,ece,Auckland,6.5762108262108265,Browns Bay South West
0,walking,pharmacy,Auckland,17.83903133903134,Browns Bay South West
0,walking,doctor,Auckland,18.23148148148148,Browns Bay South West
0,walking,primary_school,Auckland,12.771367521367521,Browns Bay South West
0,walking,greenspace,Auckland,2.2015669515669516,Browns Bay South West
0,walking,all,Auckland,21.312678062678064,Browns Bay South West
0,walking,supermarket,Auckland,15.508326029798422,Beach Haven West
0,walking,ece,Auckland,4.7975460122699385,Beach Haven West
0,walking,pharmacy,Auckland,7.982471516213847,Beach Haven West
0,walking,doctor,Auckland,6.998247151621385,Beach Haven West
0,walking,primary_school,Auckland,11.117440841367221,Beach Haven West
